iter	Logloss
0	0.6343286523
1	0.5693533425
2	0.5256889361
3	0.4877511463
4	0.4699141864
5	0.4412173614
6	0.4259609411
7	0.4075711824
8	0.3912010618
9	0.3848452538
10	0.3713305124
11	0.3645738618
12	0.3524432413
13	0.3454080934
14	0.3391260651
15	0.3329880476
16	0.3272702335
17	0.3227975646
18	0.3176129124
19	0.3133898285
20	0.309239628
21	0.3032777445
22	0.2980873617
23	0.2962355252
24	0.2941490204
25	0.2911938017
26	0.2890688833
27	0.2871570009
28	0.2842422488
29	0.2817304276
30	0.2792866821
31	0.2777236683
32	0.2754687573
33	0.2728797143
34	0.2712943571
35	0.2696850579
36	0.2666282186
37	0.2648012681
38	0.2624978902
39	0.2590431391
40	0.2574905822
41	0.2563037069
42	0.2534796424
43	0.2513113637
44	0.2486772622
45	0.2451548694
46	0.2426392922
47	0.2403033623
48	0.2387190539
49	0.2364239715
50	0.2349414167
51	0.2340109249
52	0.2324065767
53	0.2304595852
54	0.228139703
55	0.2270378861
56	0.224664775
57	0.2224562892
58	0.2203222899
59	0.2186025493
60	0.2170790982
61	0.2151108898
62	0.2131916156
63	0.211865299
64	0.2107341172
65	0.2095472319
66	0.2072988943
67	0.2056789807
68	0.204157867
69	0.20188585
70	0.200347162
71	0.199514508
72	0.1984346647
73	0.1956693991
74	0.1938236039
75	0.1917269611
76	0.1909388024
77	0.1879691761
78	0.1858701317
79	0.1846382397
80	0.1830924248
81	0.1813701302
82	0.1802631611
83	0.1792118283
84	0.1780010976
85	0.1767903762
86	0.1753604875
87	0.1736615686
88	0.1719357197
89	0.1700850002
90	0.1681324678
91	0.166955709
92	0.1660781185
93	0.1652026062
94	0.1643298657
95	0.1637104085
96	0.1626804796
97	0.1612987486
98	0.1597952103
99	0.1587393054
100	0.1566998549
101	0.155628315
102	0.153903988
103	0.1529216334
104	0.1514807018
105	0.1505975799
106	0.1491881233
107	0.1478604835
108	0.1467146281
109	0.1453919788
110	0.144126726
111	0.1424995272
112	0.1402194413
113	0.138380472
114	0.137173065
115	0.1354934156
116	0.1346448277
117	0.1336457392
118	0.132550446
119	0.1310348961
120	0.1303879079
121	0.1293411484
122	0.1278063903
123	0.1268677164
124	0.1248325388
125	0.1238945253
126	0.1224335011
127	0.1216797657
128	0.1211864387
129	0.120324331
130	0.1197932717
131	0.1183598148
132	0.1173841815
133	0.1168247414
134	0.116144097
135	0.1154199575
136	0.1141275485
137	0.1129594545
138	0.1127693227
139	0.1121243825
140	0.1113470095
141	0.1099244586
142	0.1094866639
143	0.1087341506
144	0.108360183
145	0.107681585
146	0.107051505
147	0.1057019943
148	0.1043822637
149	0.1037632961
150	0.1027705108
151	0.1016852745
152	0.1011557945
153	0.1006048444
154	0.1000311561
155	0.09898318494
156	0.09858198484
157	0.0979412554
158	0.09720716589
159	0.09614558759
160	0.09507801823
161	0.09401747237
162	0.09343398087
163	0.09279825777
164	0.0921506427
165	0.09116901185
166	0.09005669761
167	0.08917663382
168	0.08849081025
169	0.08801930088
170	0.08741321825
171	0.08654040162
172	0.08611382363
173	0.08568524813
174	0.08511182547
175	0.08468159727
176	0.08362023957
177	0.08306054916
178	0.0824179678
179	0.08203260846
180	0.08163071711
181	0.08072274894
182	0.08043448877
183	0.08012616626
184	0.07976393333
185	0.07892690225
186	0.07827149025
187	0.07775141889
188	0.07738536669
189	0.07682494707
190	0.07632615138
191	0.07598224666
192	0.07557835034
193	0.07518216426
194	0.07442399408
195	0.07369717821
196	0.07357455145
197	0.07345526618
198	0.07293210492
199	0.07257898497
